schoolname,scope,collegeID,yr_closed,yr_approved,yr_submit,yr_canceled,days_between,years_between,alt,construct,reconstruct,repair,relocate,edu_building,career_tech,community1,community2,gen_facilities,admin,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,scaled_cost,genenrollment,spend_student,career_techstudent,edu_buildingstudent,gen_facilitiesstudent,adminstudent,altstudent,constructstudent,reconstructstudent,repairstudent,relocatestudent
SAN MATEO COLLEGE,CONSTRUCTION OF TWO PORTABLE RESTROOM BLDG'S. AND TWO PORTABLE LOCKER/SHOWER ROOM BLDG'S.,372,2011,2004,2003,,2799,7.6634078,0,1,0,0,0,0,0,0,0,1,0,610520.69,610520.69,,,610520.69,0.61052066,20567,29.684479,0,0,29.684479,0,0,29.684479,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF FOOTBALL GOAL POSTS & SCOREBOARD,372,2015,2004,2004,,3788,10.371201,0,1,0,0,0,0,0,0,1,0,0,27334.68,27334.68,,,27334.68,0.027334679,20567,1.3290553,0,0,0,0,0,1.3290553,0,0,0
COLLEGE OF SAN MATEO,RELOCATION OF (1) STUDENT SERVICES RELOCATABLE BUILDING.,372,2015,2005,2005,,3590,9.8290939,0,0,0,0,1,1,0,1,0,0,0,36165.316,301377.63,,301377.63,301377.63,0.30137762,18893,15.951814,0,15.951814,0,0,0,0,0,0,15.951814
COLLEGE OF SAN MATEO PARKING LOT,ALTERATION TO PARKING LOT,372,2011,2005,2005,,2122,5.8098435,1,0,0,0,0,0,0,0,0,1,0,515690.91,515690.91,,,515690.91,0.51569092,18893,27.295343,0,0,27.295343,0,27.295343,0,0,0,0
COLLEGE OF SAN MATEO BLDG.  9  PATHWAY,CONSTRUCTION OF WALKWAY BETWEEN BLDGS #1 & #9.,372,,2005,2005,,,,0,1,0,0,0,0,0,0,0,0,0,30529.367,,,,30529.367,0.030529367,18893,1.6159089,0,0,0,0,0,1.6159089,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF (1) ELEVATOR TOWER ALTERATION TO CLASSROM BUILDING (BUILDING 18),372,2007,2005,2002,,946,2.5900621,0,1,0,0,0,0,0,0,0,1,0,2249790,7129178,1351344.5,,8480522,8.4805222,18893,448.87112,0,0,448.87112,0,0,448.87112,0,0,0
COLLEGE OF SAN MATEO,ALTERATION TO INC. I: EXISTING CAMPUS UTILITIES INCLUDING WATER SANITARY SEWER AND STORM DRAIN; INC. II: FIRE PUMP REPLACEMENT,372,2015,2005,2004,,3783,10.357511,1,0,0,0,0,0,0,0,0,1,0,2671072.8,6693637,510808.13,,7204445,7.2044449,18893,381.3288,0,0,381.3288,0,381.3288,0,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF BUILDING 35 REGIONAL PUBLIC SAFETY CENTER 1 - C.R. BLDG/S,372,2007,2005,2004,,881,2.4120982,0,1,0,0,0,1,0,0,0,1,0,2691574.3,4173139,389971.22,,4563110,4.5631099,18893,241.52385,0,241.52385,241.52385,0,0,241.52385,0,0,0
COLLEGE OF SAN MATEO,ALTERATION TO BUILDING 9 - CABLE TRAY,372,2015,2005,2004,,3764,10.30549,1,0,0,0,0,0,0,0,0,0,0,61281.691,61281.691,,61281.691,61281.691,0.061281692,18893,3.243619,0,0,0,0,3.243619,0,0,0,0
COLLEGE OF SAN MATEO,ALTERATION TO (1) CHILD CARE CENTER (BUILDING 33),372,2011,2005,2005,,2130,5.8317466,1,0,0,0,0,0,1,0,0,0,0,242595.77,312790.84,6695.6431,,319486.5,0.3194865,18893,16.910311,16.910311,0,0,0,16.910311,0,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF MODULAR TOILET BUILDING (20'X32') AND STORAGE BUILDING (20'X32') AND PRESS BOX (12'X60') AND SCOREBOARDS ALTERATION TO BLEACHERS ADDITIONS TO BLEACHERS,372,2014,2005,2004,,3535,9.6785097,0,0,0,1,0,0,0,0,1,1,0,970702,970702,,970702,970702,0.97070199,18893,51.378922,0,0,51.378922,0,0,0,0,51.378922,0
COLLEGE OF SAN MATEO - T-MOBILE CELL SITE,ALTERATION TO (1) CLASSROOM BUILDING- INSTALLATION OF TELECOMMUNICATION ANTENNA,372,2015,2006,2005,,3437,9.4101944,1,0,0,0,0,1,0,0,0,0,0,118603.73,,,,118603.73,0.11860374,17982,6.5956922,0,6.5956922,0,0,6.5956922,0,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF SCIENCE BUILDING #36,372,2009,2006,2004,,1116,3.0555067,0,1,0,0,0,1,0,0,0,0,0,19787572,24027352,77747.055,,24105100,24.105101,17982,1340.5127,0,1340.5127,0,0,0,1340.5127,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF DUG-OUT STRUCTURES FOR SOFTBALL CEREMONIAL GATEWAY AND SITE RETAINING WALL.,372,2010,2007,2006,,1063,2.9103975,0,1,0,0,0,0,0,0,1,1,0,204945.03,208536.8,184859.41,,393396.19,0.3933962,17724,22.195677,0,0,22.195677,0,0,22.195677,0,0,0
COLLEGE OF SAN MATEO - ARTS BUILDING (SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT),ALTERATIONS TO 1-ARTS BUILDING; CONSTRUCTION OF 1-ELEVATOR TOWER,372,2013,2008,2007,,1771,4.8488374,0,1,0,0,0,1,0,0,0,1,0,6129215.5,5380336.5,581037.38,,5961374,5.9613738,18092,329.50333,0,329.50333,329.50333,0,0,329.50333,0,0,0
CANADA COLLEGE-SAN MATEO COMMUNITY C.D.,CONSTRUCTION OF ANTENNAS ON ROOFTOP OF FINE ARTS BUILDING.,372,2010,2008,2007,,1032,2.8255224,0,1,0,0,0,1,0,0,0,1,0,13372.834,93293.344,,,93293.344,0.093293346,18092,5.1566076,0,5.1566076,5.1566076,0,0,5.1566076,0,0,0
COLLEGE OF SAN MATEO - BLDG. 5N,CONSTRUCTION OF 2-CLASSROOM BUILDING,372,2012,2008,2008,,1229,3.3648906,0,1,0,0,0,1,0,0,0,0,0,29711882,40169620,6623793,,46793412,46.793411,18092,2586.4146,0,2586.4146,0,0,0,2586.4146,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO C.C.D.,CONSTRUCTION OF 1-COURTYARD,372,2011,2008,2008,,1146,3.1376441,0,1,0,0,0,0,0,0,0,0,0,594237.63,617866.69,,,617866.69,0.61786669,18092,34.151375,0,0,0,0,0,34.151375,0,0,0
SAN MATEO COLLEGE BLDGS 14 & 16,CONSTRUCTION OF ONE ELEVATOR TOWER ALTERATION TO 2-CLASSROOM BUILDINGS,372,2011,2008,2007,,1106,3.0281277,0,1,0,0,0,1,0,0,0,1,0,4365081.5,3429776,242811.16,,3672587.3,3.6725872,18092,202.9951,0,202.9951,202.9951,0,0,202.9951,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO C.C.D.,CONSTRUCTION OF 1-SITE WORK (TRANSFORMER ENCLOSURE WALL),372,2014,2009,2008,,2009,5.5004597,0,1,0,0,0,0,0,0,0,1,0,552286.06,1104598.8,69446.57,1174045.4,1174045.4,1.1740453,18646,62.965,0,0,62.965,0,0,62.965,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO COUNTY C.C.D.,ALTERATIONS TO 1-CLASSROOM BUILDING (BLDG.#15).,372,2011,2009,2009,,818,2.2396097,1,0,0,0,0,1,0,0,0,0,0,555057.38,994313.38,295240.75,,1289554.1,1.2895541,18646,69.159828,0,69.159828,0,0,69.159828,0,0,0,0
COLLEGE OF SAN MATEO -SAN MATEO C.C.C.D.,ALTERATIONS TO 2-CLASSROOM BUILDINGS (# 12 & # 17),372,2012,2009,2009,,896,2.4531667,1,0,0,0,0,1,0,0,0,0,0,972029.94,2677169.3,1021575.9,,3698745,3.698745,18646,198.36667,0,198.36667,0,0,198.36667,0,0,0,0
COLLEGE OF SAN MATEO - BLDG 10N - SAN MATEO C.C.C.D.,CONSTRUCTION OF 1-STUDENT FACULTY CENTER,372,2012,2009,2008,,1091,2.9870591,0,1,0,0,0,0,0,0,0,0,0,40576492,40576492,6686717.5,,47263208,47.263206,18646,2534.7639,0,0,0,0,0,2534.7639,0,0,0
COLLEGE OF SAN  MATEO-SAN MATEO COUNTY C.C.D.,ALTERATIONS TO 1-BUILDING 9,372,2011,2009,2009,,881,2.4120982,1,0,0,0,0,0,0,0,0,0,0,184379.66,410649.56,65318.75,,475968.31,0.4759683,18646,25.526564,0,0,0,0,25.526564,0,0,0,0
CANADA COLLEGE-SAN MATEO C.C.D.,CONSTRUCTION OF 1-EXTERIOR ELEVATOR ALTERATION TO 1-CLASSROOM/ADMINISTRATION BUILDING,372,2013,2009,2008,,1491,4.0822229,0,1,0,0,0,1,0,0,0,1,1,9661070,9251109,,10167303,10167303,10.167303,18646,545.28064,0,545.28064,545.28064,545.28064,0,545.28064,0,0,0
COLLEGE OF SAN MATEO- SITEWORK PACKAGE -SAN MATEO C.C.D.,CONSTRUCTION OF 1-POOL BUILDING AND 2 SWIMMING POOLS ALTERATION TO 1-CAMPUSWIDE SITEWORK,372,2012,2009,2008,,1093,2.9925349,0,1,0,0,0,0,0,0,1,1,0,16316474,16316474,9769319,,26085792,26.085793,18646,1399.0021,0,0,1399.0021,0,0,1399.0021,0,0,0
CANADA COLLEGE-SAN MATEO CCCD,ALTERATIONS TO 3-BUILDINGS 3 16 AND 13; CONSTRUCTION OF 1-NEW BUILDING 30,372,2013,2011,2010,,818,2.2396097,0,1,0,0,0,0,0,0,0,0,0,3210227.8,2680224,7566.6694,2687790.8,2687790.8,2.6877906,16149,166.43698,0,0,0,0,0,166.43698,0,0,0
CANADA COLLEGE-SAN MATEO CCD,CONSTRUCTION OF 1-BLEACHERS (INDOOR),372,2013,2011,2011,,677,1.8535646,0,1,0,0,0,0,0,0,1,0,0,114056.85,216582.55,,216582.55,216582.55,0.21658255,16149,13.411514,0,0,0,0,0,13.411514,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO CCD,ALTERATIONS TO 1-BUILDING 5 - LOCKER ROOM REMODEL,372,2013,2012,2012,,382,1.0458814,1,0,0,0,0,0,0,0,0,1,0,457728.34,298642.31,-53926.504,244715.83,244715.83,0.24471582,15380,15.911303,0,0,15.911303,0,15.911303,0,0,0,0
CANADA COLLEGE-SAN MATEO CO. CCD,CONSTRUCTION OF 1-TOILET BUILDING (RELOCATABLE),372,2013,2012,2012,,331,0.90624797,0,1,0,0,0,1,0,0,0,1,0,163799.92,163799.92,,163799.92,163799.92,0.16379993,15380,10.65019,0,10.65019,10.65019,0,0,10.65019,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO CCD,ALTERATIONS TO 1-CELL SITE ON ROOF TOP OF GYM BUILDING.,372,2013,2012,2012,,369,1.0102885,1,0,0,0,0,0,0,0,1,1,0,46226.117,46226.117,,46226.117,46226.117,0.046226118,15380,3.0055993,0,0,3.0055993,0,3.0055993,0,0,0,0
COLLEGE OF SAN MATEO-SAN MATEO CCD,CONSTRUCTION OF 1-SITEWORK,372,2014,2013,2013,,410,1.1225427,0,1,0,0,0,0,0,0,0,1,0,263429.75,456102.25,,456102.25,456102.25,0.45610225,14918,30.573954,0,0,30.573954,0,0,30.573954,0,0,0
CANADA COLLEGE-SAN MATEO CCD,ALTERATIONS TO 1-TELECOM SITE,372,2013,2013,2012,,349,0.95553035,1,0,0,0,0,0,0,0,0,1,0,46226.117,46226.117,,46226.117,46226.117,0.046226118,14918,3.0986805,0,0,3.0986805,0,3.0986805,0,0,0,0
CANADA COLLEGE (SAN MATEO CCCD),CONSTRUCTION OF 1-CLASSROOM BUILDING  (RELOCATABLE),372,,2015,2015,,,,0,1,0,0,0,1,0,0,0,0,0,164674.53,,,,164674.53,0.16467454,13857,11.883852,0,11.883852,0,0,0,11.883852,0,0,0
COLLEGE OF SAN MATEO,CONSTRUCTION OF (2) MODULAR BLDGS:ONE FOR SOAFTBALL TEAM ROOM AND ONE FOR FOOTBALL HALL OF FAME,372,2012,,2007,,,,0,1,0,0,0,0,0,0,1,0,0,568194.25,591859.5,287732.16,,879591.63,0.87959164,,,,,,,,,,,
COLLEGE OF SAN MATEO,ALTERATION TO BUILDING 9 PHASE I SOUTH,372,2015,,2003,,,,1,0,0,0,0,0,0,0,0,0,0,318365.84,4617377,,4617377,4617377,4.6173768,,,,,,,,,,,
COLLEGE OF SAN MATEO-SAN MATEO CCD,CONSTRUCTION OF 1-MASONRY SCREEN WALL COMPOUND,372,,,2011,,,,0,1,0,0,0,0,0,0,0,1,0,25850.596,,,,25850.596,0.025850596,,,,,,,,,,,
SKYLINE COLLEGE,ALTERATIONS TO BUILDINGS (12&7): ADDITIONS TO BUILDING 2 ONLY.,373,2015,1998,1998,,6249,17.109196,0,0,0,1,0,0,0,0,0,0,0,2900666.8,5208081.5,,5208081.5,5208081.5,5.2080817,14764,352.75546,0,0,0,0,0,0,0,352.75546,0
SKYLINE COLLEGE,CONSTRUCTION OF: ONE RELOCATABEL CLASSROOM / OFFICE BUILDING AND ASSOCIATED SITE WORK.,373,2004,2001,2001,,1133,3.1020513,0,1,0,0,0,1,0,0,0,1,1,239748.98,239748.98,,,239748.98,0.23974898,16245,14.758325,0,14.758325,14.758325,14.758325,0,14.758325,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF ONE RELOCATABLE OFFICE BUILDING AND ASSOCIATED SITE WORK.,373,2007,2001,2001,,2218,6.0726829,0,1,0,0,0,1,0,0,0,1,1,263845.03,398321.56,,,398321.56,0.39832157,16245,24.51964,0,24.51964,24.51964,24.51964,0,24.51964,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF ALTERATIONS TO: BUILDING 2 CAMPUS CENTER.,373,2015,2001,2001,,4968,13.601933,0,1,0,0,0,0,0,1,0,0,0,1990940.3,1811517.9,179422.42,1990940.3,1990940.3,1.9909402,16245,122.55711,0,0,0,0,0,122.55711,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF: TWO RELOCATABLE CLASSROOMS C&D - 1- 24 X 40 1- 36 X40.,373,2004,2002,2001,,861,2.3573399,0,1,0,0,0,1,0,0,0,0,0,159626.23,,,,159626.23,0.15962623,16607,9.6119852,0,9.6119852,0,0,0,9.6119852,0,0,0
SKYLINE COLLEGE,ALTERATION TO: BLDGS. 7&8 VOLUNTARY SEISMIC & ACCESS UPGRADE,373,2011,2002,2002,,3423,9.3718634,1,0,0,0,0,0,0,0,0,1,0,2982534.5,2982534.5,,,2982534.5,2.9825344,16607,179.59502,0,0,179.59502,0,179.59502,0,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF CLASSROOM (RELOCATABLE),373,2008,2002,1998,,1930,5.2841649,0,1,0,0,0,1,0,0,0,0,0,136512.63,175490.33,,,175490.33,0.17549033,16607,10.56725,0,10.56725,0,0,0,10.56725,0,0,0
SKYLINE COMMUNITY COLLEGE,CONSTRUCTION OF 10,373,2007,2003,2003,,1345,3.682488,0,1,0,0,0,0,0,0,0,0,0,215903.67,216856.19,,,216856.19,0.21685618,17861,12.141324,0,0,0,0,0,12.141324,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF WIRELESS ANTENNA POLE AND EQUIPMENT STORAGE BUILDING,373,2005,2003,2003,,483,1.3224102,0,1,0,0,0,0,0,0,0,1,0,95509.758,63673.172,,,63673.172,0.063673168,17861,3.5649276,0,0,3.5649276,0,0,3.5649276,0,0,0
SKYLINE COLLEGE,RELOCATION OF RELOCATION OF UTILITIES WITHIN THE FOOTPRINT OF A FUTURE BUILDING,373,2008,2004,2004,,1390,3.8056939,0,0,0,0,1,0,0,0,0,1,0,369473,1286204.3,,,1286204.3,1.2862042,15095,85.207306,0,0,85.207306,0,0,0,0,0,85.207306
SKYLINE COLLEGE,ALTERATION TO UNIT C & ADMIN,373,2011,2004,2004,,2622,7.1787982,1,0,0,0,0,0,0,0,0,0,1,441405.78,844976.81,,,844976.81,0.84497678,15095,55.977264,0,0,0,55.977264,55.977264,0,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF GYMNASIUM BUILDING 3 - TOILET ROOM ADDITION ALTERATION TO GYMNASIUM BUILDING 3,373,2010,2004,2004,,2206,6.0398278,0,1,0,0,0,0,0,0,1,1,0,3516805,8338442,768013.5,,9106456,9.1064558,15095,603.27631,0,0,603.27631,0,0,603.27631,0,0,0
SKYLINE COLLEGE,ALTERATION TO BUILDING 8 AND PART OF BUILDING 7.,373,2011,2005,2004,,2472,6.7681117,1,0,0,0,0,1,0,0,0,0,0,3017801.8,12226388,1209424.5,,13435812,13.435812,14096,953.16486,0,953.16486,0,0,953.16486,0,0,0,0
SKYLINE COLLEGE PARKING LOT,ALTERATION TO PARKING LOT,373,2014,2005,2005,,3359,9.1966372,1,0,0,0,0,0,0,0,0,1,0,315039.69,315039.69,,,315039.69,0.31503969,14096,22.349581,0,0,22.349581,0,22.349581,0,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF STUDENT SUPPORT & COMMUNITY SERVICES CENTER BUILDING; SCIENCE BUILDING ANNEX,373,2011,2005,2004,,2100,5.7496095,0,1,0,0,0,1,0,0,0,0,0,20523238,25522334,8620761,,34143096,34.143097,14096,2422.1833,0,2422.1833,0,0,0,2422.1833,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF MODULAR TOILET BUILDING SCOREBOARD SITE RAMP & STAIR W/ RETAINING WALL,373,2014,2005,2004,,3521,9.6401787,0,1,0,0,0,0,0,0,1,1,0,301505.91,320298.56,,320298.56,320298.56,0.32029855,14096,22.722656,0,0,22.722656,0,0,22.722656,0,0,0
SKYLINE COLLEGE,ALTERATION TO BUILDING 7  (SCIENCE BUILDING),373,2011,2007,2006,,1495,4.0931745,1,0,0,0,0,1,0,0,0,0,0,11424347,8838690,733221.63,,9571912,9.5719118,14235,672.42096,0,672.42096,0,0,672.42096,0,0,0,0
SKYLINE COLLEGE,CONSTRUCTION OF CONSTRUCTION OF: RELOCATABLE CLASSROOM CHILDCARE.,373,2007,2007,2001,,194,0.53115439,0,1,0,0,0,1,1,0,0,0,0,151710.89,159626.23,,,159626.23,0.15962623,14235,11.213645,11.213645,11.213645,0,0,0,11.213645,0,0,0
SKYLINE COMMUNITY COLLEGE - BLDG. 3 GYM EQUIPMENT REPLACEMENT,ALTERATION TO 1-BLEACHERS (INDOOR) & GYM EQUIPMENT (BASKETBALL BACKSTOPS).,373,2009,2007,2007,,530,1.4510919,1,0,0,0,0,0,0,0,1,1,0,363370.69,447608.06,20294.338,,467902.41,0.46790239,14235,32.869858,0,0,32.869858,0,32.869858,0,0,0,0
SKYLINE COLLEGE,ALTERATION TO BLDG. 2,373,2008,2007,2007,,377,1.0321918,1,0,0,0,0,0,0,0,0,0,0,517707.34,592142.19,20253.861,,612396.06,0.61239606,14235,43.020447,0,0,0,0,43.020447,0,0,0,0
SKYLINE COLLEGE FACILITIES MAINTENANCE CENTER,CONSTRUCTION OF NEW 12400 SF. FACILITIES MAINTANENCE CENTER AND DEMOLITION OF (E) BLDGS B11 B12 & B13,373,2011,2007,2007,,1406,3.8495004,0,1,0,0,0,0,0,0,0,0,0,6453129.5,7114095,1157119,,8271214,8.2712135,14235,581.04773,0,0,0,0,0,581.04773,0,0,0
SKYLINE COLLEGE-SAN MATEO COUNTY COMM. COLLEGE DIST.,RECONSTRUCTION OF 1-ELEVATOR & HVAC UPGRADE,373,2012,2008,2007,,1564,4.2820902,0,0,1,0,0,0,0,0,0,1,0,194456.94,184915.22,,,184915.22,0.18491521,15037,12.297348,0,0,12.297348,0,0,0,12.297348,0,0
SKYLINE COLLEGE-SAN MATEO COUNTY C.C.D.,CONSTRUCTION OF 1-SITEWORK 1-FOUNDATION FRAMING AND GFRC PANELS 1-BUILDING ENVELOP CURTAIN WALL STOREFRONT INTERIOR,373,2012,2008,2008,,1324,3.6249919,0,1,0,0,0,0,0,0,0,1,0,28339138,38400608,-4700196.5,,33700412,33.700413,15037,2241.166,0,0,2241.166,0,0,2241.166,0,0,0
SKYLINE COLLEGE-SAN MATEO C.C.D.,CONSTRUCTION OF 1-CAMPUS SITE WORKS,373,2012,2009,2008,,1173,3.2115676,0,1,0,0,0,0,0,0,0,1,0,12114583,12225726,-1191123.6,,11034602,11.034602,16238,679.55426,0,0,679.55426,0,0,679.55426,0,0,0
SKYLINE COLLEGE-SAN MATEO COUNTY C.C.D.,CONSTRUCTION OF 1-CAMPUS 12 KV ELECTRICAL SYSTEM UPGRADE (BLDG 1A),373,2012,2009,2009,,947,2.5928001,0,1,0,0,0,1,0,0,0,1,0,872441.69,1989167,666002.31,2655169.3,2655169.3,2.6551692,16238,163.51578,0,163.51578,163.51578,0,0,163.51578,0,0,0
SKYLINE COLLEGE-SAN MATEO C.C.D.,CONSTRUCTION OF 1-TRANSMISSION BUILDING/ SHOP,373,2011,2009,2008,,787,2.1547346,0,1,0,0,0,0,1,0,0,0,0,4324573,5668291,1017716.1,,6686007,6.686007,16238,411.75064,411.75064,0,0,0,0,411.75064,0,0,0
SKYLINE COLLEGE-SAN MATEO CCCD,ALTERATIONS TO 2-CLASSROOM BUILDINGS AND UNDERGROUND VAULT; CONSTRUCTION OF 1-ELECTRICAL LOAD CENTER INFRASTRUCTURE,373,2012,2011,2010,,579,1.5852494,0,1,0,0,0,1,0,0,0,1,0,1031372.3,911244.13,,,911244.13,0.91124415,16215,56.197601,0,56.197601,56.197601,0,0,56.197601,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF: SWIMMING POOL TRAINING BUILDING.,411,2002,1999,1999,,1002,2.7433851,0,1,0,0,0,0,0,0,1,0,0,394643.81,476250.5,14673.35,,490923.84,0.49092385,19555,25.104773,0,0,0,0,0,25.104773,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF: TWO ELEVATOR HOISTWAYS.,411,2013,1999,1999,,5055,13.840132,0,1,0,0,0,0,0,0,0,1,0,686262.56,1046600.4,50355.246,,1096955.6,1.0969557,19555,56.095917,0,0,56.095917,0,0,56.095917,0,0,0
CABRILLO COLLEGE,ALTERATIONS TO SWIMMING AND DIVING POOL.,411,2011,1999,1999,,4478,12.260358,1,0,0,0,0,0,0,0,1,0,0,1069918,1311006.3,72252.938,,1383259.3,1.3832593,19555,70.736855,0,0,0,0,70.736855,0,0,0,0
CABRILLO COLLEGE,ALTERATIONS TO: BUILDING 450 - THE FORUM (3 CLASSROOMS),411,2011,1999,1999,,4530,12.402729,1,0,0,0,0,1,0,0,0,0,0,85593.445,64180.816,23690.838,,87871.656,0.087871656,19555,4.4935646,0,4.4935646,0,0,4.4935646,0,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF THREE AURORA RELOCATABLE BUILDINGS (BLDG 850).,411,2013,1999,1999,,4894,13.399328,0,1,0,0,0,1,0,0,0,0,0,168728.19,168728.19,,,168728.19,0.16872819,19555,8.6283913,0,8.6283913,0,0,0,8.6283913,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF WATSONVILLE CENTER/CABRILLO COLLEGE EXPANSION.,411,2004,1999,1998,,1936,5.3005924,0,1,0,0,0,0,0,0,0,0,0,5772825.5,7894378,793477.56,,8687856,8.6878557,19555,444.27798,0,0,0,0,0,444.27798,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF A & B PARKING STRUCTURES.,411,2013,2000,2000,,4733,12.958525,0,1,0,0,0,0,0,0,0,1,0,8018842,8662616,,,8662616,8.6626158,20195,428.94855,0,0,428.94855,0,0,428.94855,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF: TWO AURORA RELOCATABLE BUILDINGS (CABRILLO COLLEGE BUILDING NO. 854) (1)  24 X40.,411,2013,2000,2000,,4423,12.109773,0,1,0,0,0,1,0,0,0,0,0,304519.88,,,,304519.88,0.30451986,20195,15.078974,0,15.078974,0,0,0,15.078974,0,0,0
CABRILLO COLLEGE,ALTS. TO: BUILDING 1100 PHYSICAL EDUCATION.,411,2007,2000,1999,,2557,7.000834,1,0,0,0,0,1,0,0,0,0,0,48716.766,309191.38,26634.15,,335825.53,0.33582553,20195,16.629143,0,16.629143,0,0,16.629143,0,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF ADDITIONS TO EARLY CHILDHOOD EDUCATION BLDG 1500.,411,2007,2001,2000,,2145,5.8728151,0,0,0,1,0,1,1,0,0,0,0,270217.38,521357.41,,,521357.41,0.52135742,20672,25.220463,25.220463,25.220463,0,0,0,0,0,25.220463,0
CABRILLO COLLEGE,CONSTRUCTION OF: STUDENTSERVICE CENTER,411,2011,2001,2000,,3463,9.4813795,0,1,0,0,0,0,0,0,0,0,0,816284.88,2120379,171700.03,,2292079,2.292079,20672,110.87843,0,0,0,0,0,110.87843,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF CONSTRUCTION OF HORTICULTURE FACILITY BUILDINGS 650 675 680 AND NURSERY STRUCTURES 690 691 692 693 694 AND 695.,411,2007,2001,2001,,2220,6.0781584,0,1,0,0,0,0,1,0,0,1,0,4269465,5259851.5,236656.44,,5496508,5.4965081,20672,265.89145,265.89145,0,265.89145,0,0,265.89145,0,0,0
CABRILLO COLLEGE,ALTERATIONS TO BUILDING 200 - (E) PORCH COLUMN UNDERPINING ( 2 COLUMNS ).,411,2002,2001,2001,,306,0.83780026,1,0,0,0,0,0,0,0,0,0,0,6596.1255,31661.402,,,31661.402,0.031661402,20672,1.5316081,0,0,0,0,1.5316081,0,0,0,0
CABRILLO COMMUNITY COLLEGE,ALTERATION TO BUILDING 500 & 700,411,2008,2003,2002,,1769,4.8433614,1,0,0,0,0,0,0,0,0,0,0,487284.5,339279.03,,,339279.03,0.33927903,22640,14.985823,0,0,0,0,14.985823,0,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF (4) BALLFIELD DUGOUTS & ACCESS TO VIEWING STANDS & DUGOUTS,411,2013,2003,2002,,3722,10.190498,0,1,0,0,0,0,0,0,1,0,0,9692.8213,105974.85,,,105974.85,0.10597485,22640,4.6808681,0,0,0,0,0,4.6808681,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF SCORE BOARD,411,2008,2003,2003,,1917,5.2485719,0,1,0,0,0,0,0,0,1,0,0,1919.5587,19195.588,,,19195.588,0.019195588,22640,0.84786165,0,0,0,0,0,0.84786165,0,0,0
CABRILLO COLLEGE,ALTERATION TO BUILDING 450 - FIRE ALARM UPGRADE,411,2007,2004,2004,,1064,2.9131355,1,0,0,0,0,0,0,0,0,1,0,12424.854,7831.3857,,,7831.3857,0.007831385,21362,0.36660358,0,0,0.36660358,0,0.36660358,0,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF ACCESSIBLE EAST-WEST LANDBRIDGE CORRIDOR,411,2007,2004,2004,,1196,3.2745395,0,1,0,0,0,0,0,0,0,1,0,376127,1195528.8,69307.672,,1264836.4,1.2648364,21362,59.209641,0,0,59.209641,0,0,59.209641,0,0,0
CABRILLO COMMUNITY COLLEGE,CONSTRUCTION OF RELOCATABLE  BLDG,411,2011,2004,2004,,2646,7.2445078,0,1,0,0,0,1,0,0,0,0,0,60180.32,111584.34,,,111584.34,0.11158434,21362,5.2234969,0,5.2234969,0,0,0,5.2234969,0,0,0
CABRILLO COMM. COLLEGE,ALTERATION TO STORAGE ROOM AT BUILDING 600,411,2011,2004,2004,,2660,7.2828388,1,0,0,0,0,0,0,0,0,1,0,188768.61,150889.05,24444.277,,175333.33,0.17533332,21362,8.2077208,0,0,8.2077208,0,8.2077208,0,0,0,0
CABRILLO COLLEGE,CONSTRUCTION OF 2D ART 3D ART FORUM THEATER & MUSIC BUILDINGS,411,2012,2005,2004,,2645,7.2417698,0,1,0,0,0,1,0,0,1,1,0,42244504,67858936,5729709,73588648,73588648,73.588646,21787,3377.6401,0,3377.6401,3377.6401,0,0,3377.6401,0,0,0
